gene	reference	direction	firstBase	lastBase
PE2	NC_000962.3	-	179318	180895
ptbB	NC_000962.3	-	181160	181977
fadE2	NC_000962.3	-	181995	183192
pntAa	NC_000962.3	+	183628	184715
pntAb	NC_000962.3	+	184731	185055
pntB	NC_000962.3	+	185057	186474
gene_165	NC_000962.3	-	186502	186620
gene_166	NC_000962.3	+	186789	187426
PE3	NC_000962.3	-	187439	188839
PE4	NC_000962.3	-	188938	190431
gene_169	NC_000962.3	+	190606	191955
adhE1	NC_000962.3	-	191985	193127
gene_171	NC_000962.3	+	193122	193565
TB18.5	NC_000962.3	+	193626	194108
mce1R	NC_000962.3	-	194149	194811
fadD5	NC_000962.3	+	194995	196653
yrbE1A	NC_000962.3	+	196860	197658
yrbE1B	NC_000962.3	+	197660	198525
mce1A	NC_000962.3	+	198541	199891
mce1B	NC_000962.3	+	199895	200934
mce1C	NC_000962.3	+	200931	202475
mce1D	NC_000962.3	+	202484	204065
lprK	NC_000962.3	+	204065	205236
mce1F	NC_000962.3	+	205234	206777
gene_183	NC_000962.3	+	206813	207453
gene_184	NC_000962.3	+	207458	208412
gene_185	NC_000962.3	+	208422	208966
gene_186	NC_000962.3	+	208940	209668
lprO	NC_000962.3	-	209711	210809
gene_188	NC_000962.3	-	210891	212244
gene_189	NC_000962.3	-	212283	213010
sigG	NC_000962.3	-	213029	214133
gene_191	NC_000962.3	+	214092	214920
gene_192	NC_000962.3	+	214973	215718
gene_193	NC_000962.3	+	215715	216224
bglS	NC_000962.3	+	216269	218344
mymT	NC_000962.3	-	218396	218549
gene_196	NC_000962.3	+	218706	219365
gene_197	NC_000962.3	+	219489	219913
ilvD	NC_000962.3	-	220003	221722
gene_199	NC_000962.3	+	221871	222155
gene_200	NC_000962.3	+	222292	223521
gene_201	NC_000962.3	+	223563	224655
gene_202	NC_000962.3	-	224732	226564
gene_203	NC_000962.3	+	226882	230459
gene_204	NC_000962.3	+	230905	231530
gene_205	NC_000962.3	+	231650	232226
gene_206	NC_000962.3	+	232233	234518
zmp1	NC_000962.3	-	234516	236498
gene_208	NC_000962.3	+	236558	237203
gene_209	NC_000962.3	+	237209	237888
gene_210	NC_000962.3	-	237894	238393
mmpL11	NC_000962.3	-	238393	241286
gene_212	NC_000962.3	+	241522	241917
gene_213	NC_000962.3	-	241982	243210
gene_214	NC_000962.3	+	243383	244482
mmpL3	NC_000962.3	-	244489	247314
gene_216	NC_000962.3	-	247384	248107
gene_217	NC_000962.3	-	248116	248902
gene_218	NC_000962.3	+	249044	250115
gene_219	NC_000962.3	+	250127	251590
pckA	NC_000962.3	+	251790	253598
nadR	NC_000962.3	-	253675	254634
gene_222	NC_000962.3	-	254636	255945
fadD4	NC_000962.3	+	256071	257670
gene_224	NC_000962.3	-	257721	258853
gene_225	NC_000962.3	+	258916	259926
lipW	NC_000962.3	-	259924	260829
gene_227	NC_000962.3	+	260924	262252
gene_228	NC_000962.3	+	262259	262796
lipC	NC_000962.3	+	262820	264021
gene_230	NC_000962.3	+	264075	265467
echA1	NC_000962.3	+	265506	266291
gene_232	NC_000962.3	-	266303	267762
gene_233	NC_000962.3	-	267863	268619
gene_234	NC_000962.3	+	268670	269814
gene_235	NC_000962.3	-	269838	271562
gene_236	NC_000962.3	-	271579	272839
gene_237	NC_000962.3	+	273063	274273
gene_238	NC_000962.3	-	274305	274978
php	NC_000962.3	-	274982	275959
fadE4	NC_000962.3	+	276065	277756
gene_241	NC_000962.3	+	277899	278584
nrdB	NC_000962.3	+	278585	279528
gabD1	NC_000962.3	-	279611	281140
gene_244	NC_000962.3	-	281166	282606
aftD	NC_000962.3	-	282651	286849
gene_246	NC_000962.3	-	286903	287064
lpqI	NC_000962.3	+	287191	288352
gene_248	NC_000962.3	+	288427	289038
vapB24	NC_000962.3	+	289112	289329
vapC24	NC_000962.3	+	289353	289780
htdX	NC_000962.3	-	289815	290654
fabG4	NC_000962.3	-	290670	292024
fadA2	NC_000962.3	+	292174	293488
F6	NC_000962.3	+	293607	293696
fadE5	NC_000962.3	-	293802	295625
gene_256	NC_000962.3	+	296005	296492
gene_257	NC_000962.3	+	296812	298113
gene_258	NC_000962.3	-	298121	298854
gene_259	NC_000962.3	-	298868	300802
gene_260	NC_000962.3	-	300841	301654
gene_261	NC_000962.3	-	301738	302025
hsp	NC_000962.3	-	302181	302644
nirB	NC_000962.3	+	302870	305419
nirD	NC_000962.3	+	305454	305806
cobU	NC_000962.3	-	305832	306342
cobQ1	NC_000962.3	-	306377	307853
PPE2	NC_000962.3	-	307877	309544
gene_268	NC_000962.3	+	309705	310069
gene_269	NC_000962.3	-	310293	310742
gene_270	NC_000962.3	-	310776	311512
gene_271	NC_000962.3	-	311522	312655
narK3	NC_000962.3	-	312761	314163
aac	NC_000962.3	-	314308	314853
gene_274	NC_000962.3	-	314871	315757
gene_275	NC_000962.3	-	315787	316412
gene_276	NC_000962.3	-	316519	317494
oplA	NC_000962.3	-	317529	321153
narU	NC_000962.3	+	321336	322718
gene_279	NC_000962.3	-	322772	323270
gene_280	NC_000962.3	-	323338	324526
fadD2	NC_000962.3	+	324566	326242
fadE6	NC_000962.3	-	326269	328460
gene_283	NC_000962.3	-	328581	329700
gene_284	NC_000962.3	-	329710	330316
gene_285	NC_000962.3	+	330429	330998
gene_286	NC_000962.3	-	330937	331650
gene_287	NC_000962.3	+	331748	332660
vapC25	NC_000962.3	-	332710	333129
vapB25	NC_000962.3	-	333159	333414
gene_290	NC_000962.3	-	333439	336301
PE_PGRS4	NC_000962.3	-	336563	339064
PPE3	NC_000962.3	+	339365	340974
gene_293	NC_000962.3	+	340998	341905
eccA3	NC_000962.3	+	342133	344025
eccB3	NC_000962.3	+	344021	345637
eccC3	NC_000962.3	+	345636	349619
PE5	NC_000962.3	+	349629	349932
PPE4	NC_000962.3	+	349941	351467
esxG	NC_000962.3	+	351531	351813
esxH	NC_000962.3	+	351850	352133
espG3	NC_000962.3	+	352148	353034
eccD3	NC_000962.3	+	353082	354499
mycP3	NC_000962.3	+	354498	355875
eccE3	NC_000962.3	+	355884	356870
gene_305	NC_000962.3	-	356864	358055
tam	NC_000962.3	+	358173	358956
gene_307	NC_000962.3	-	358947	359741
gene_308	NC_000962.3	-	359762	361150
PE_PGRS5	NC_000962.3	+	361337	363100
gene_310	NC_000962.3	+	363256	363474
gene_311	NC_000962.3	+	363483	363771
vapB2	NC_000962.3	+	363826	364045
vapC2	NC_000962.3	+	364051	364467
gene_314	NC_000962.3	+	364610	365230
gene_315	NC_000962.3	+	365239	366136
PPE5	NC_000962.3	-	366149	372757
PPE6	NC_000962.3	-	372828	375704
gene_318	NC_000962.3	+	375914	376582
gene_319	NC_000962.3	-	376574	377053
gene_320	NC_000962.3	+	377114	377824
gene_321	NC_000962.3	+	377938	378578
gene_322	NC_000962.3	-	378659	379143
gene_323	NC_000962.3	+	379176	380396
gene_324	NC_000962.3	+	380564	382417
gene_325	NC_000962.3	+	382496	382874
gene_326	NC_000962.3	-	382880	383537
gene_327	NC_000962.3	+	383610	384477
gene_328	NC_000962.3	+	384537	385143
glpQ2	NC_000962.3	-	385174	385940
glyU	NC_000962.3	-	386205	386272
gene_331	NC_000962.3	-	386313	387097
pcp	NC_000962.3	+	387147	387814
gene_333	NC_000962.3	+	387894	388542
dcd	NC_000962.3	+	388590	389145
udgA	NC_000962.3	+	389265	390591
gene_336	NC_000962.3	-	390580	391245
gene_337	NC_000962.3	+	391353	392031
gene_338	NC_000962.3	+	392042	392258
gene_339	NC_000962.3	+	392274	392726
cyp135A1	NC_000962.3	-	392698	394041
gene_341	NC_000962.3	+	394112	394707
gene_342	NC_000962.3	-	394697	395320
gene_343	NC_000962.3	-	395350	396082
gene_344	NC_000962.3	+	396203	397358
gene_345	NC_000962.3	+	397444	398220
gene_346	NC_000962.3	+	398262	398619
rmlA	NC_000962.3	+	398658	399518
PE6	NC_000962.3	-	399536	400043
gene_349	NC_000962.3	+	400200	401694
aspC	NC_000962.3	-	401875	403153
gene_351	NC_000962.3	-	403200	405836
gene_352	NC_000962.3	-	405958	408447
gene_353	NC_000962.3	+	408639	409169
iniB	NC_000962.3	+	409363	410794
iniA	NC_000962.3	+	410840	412755
iniC	NC_000962.3	+	412758	414237
lpqJ	NC_000962.3	-	414386	414939
gene_358	NC_000962.3	+	415049	415454
ansP2	NC_000962.3	-	415504	416956
gene_360	NC_000962.3	+	417308	418288
gene_361	NC_000962.3	+	418294	418943
gene_362	NC_000962.3	+	418952	419599
dnaK	NC_000962.3	+	419841	421709
grpE	NC_000962.3	+	421713	422408
dnaJ1	NC_000962.3	+	422458	423631
hspR	NC_000962.3	+	423642	424015
PPE7	NC_000962.3	-	424274	424685
PPE8	NC_000962.3	-	424777	434674
gene_369	NC_000962.3	-	434831	435465
purA	NC_000962.3	-	435475	436762
gene_371	NC_000962.3	+	436864	437500
gene_372	NC_000962.3	+	437521	438295
gene_373	NC_000962.3	-	438304	438730
gene_374	NC_000962.3	+	438824	439642
mgtE	NC_000962.3	+	439875	441252
fba	NC_000962.3	-	441272	442293
gene_377	NC_000962.3	+	442402	443073
gene_378	NC_000962.3	-	443072	444191
gene_379	NC_000962.3	-	444221	444815
gene_380	NC_000962.3	-	444847	445228
gene_381	NC_000962.3	-	445316	446518
gene_382	NC_000962.3	-	446538	447045
gene_383	NC_000962.3	-	447148	448035
gene_384	NC_000962.3	-	448046	448626
gene_385	NC_000962.3	-	448634	449378
gene_386	NC_000962.3	-	449404	451795
gene_387	NC_000962.3	-	451799	452279
gene_388	NC_000962.3	-	452295	453149
gene_389	NC_000962.3	-	453235	454364
gene_390	NC_000962.3	+	454428	455377
gene_391	NC_000962.3	+	455638	455854
secE2	NC_000962.3	+	455976	456187
gene_393	NC_000962.3	-	456275	456813
gene_394	NC_000962.3	-	456920	457814
pyrE	NC_000962.3	-	457840	458379
gene_396	NC_000962.3	-	458462	459309
clpB	NC_000962.3	-	459461	461993
gene_398	NC_000962.3	+	462142	463307
gene_399	NC_000962.3	+	463410	466661
gene_400	NC_000962.3	-	466677	467994
purT	NC_000962.3	+	468340	469585
gene_402	NC_000962.3	+	469599	470010
metZ	NC_000962.3	+	470011	471227
ndhA	NC_000962.3	-	471232	472634
gene_405	NC_000962.3	+	472783	474097
gene_406	NC_000962.3	-	474128	474834
gene_407	NC_000962.3	+	474940	475343
gene_408	NC_000962.3	+	475355	475736
gene_409	NC_000962.3	+	475817	476175
gene_410	NC_000962.3	+	476399	476633
gene_411	NC_000962.3	-	476683	477315
lpqK	NC_000962.3	-	477327	478549
fadE7	NC_000962.3	-	478571	479747
gene_414	NC_000962.3	+	479791	480155
mmpL1	NC_000962.3	-	480354	483222
mmpS1	NC_000962.3	-	483235	483647
fadD30	NC_000962.3	+	483977	485727
pks6	NC_000962.3	+	485731	489938
gene_419	NC_000962.3	-	489895	490696
fgd1	NC_000962.3	+	490782	491791
pta	NC_000962.3	+	491790	493857
ackA	NC_000962.3	+	493859	494999
pknG	NC_000962.3	-	495069	497312
glnH	NC_000962.3	-	497319	498295
gene_425	NC_000962.3	-	498301	499614
mutT3	NC_000962.3	+	499714	500360
thiE	NC_000962.3	-	500358	501015
thiO	NC_000962.3	+	501149	502166
thiS	NC_000962.3	+	502174	502373
thiG	NC_000962.3	+	502366	503121
lpqL	NC_000962.3	+	503503	504993
lpqM	NC_000962.3	+	505085	506578
gene_433	NC_000962.3	-	506563	506963
gene_434	NC_000962.3	-	507139	507761
thiD	NC_000962.3	-	507764	508549
thiC	NC_000962.3	-	508585	510217
gene_437	NC_000962.3	-	510377	510647
ctpH	NC_000962.3	-	510706	515320
gene_439	NC_000962.3	-	515377	515813
xthA	NC_000962.3	-	516025	516891
gene_441	NC_000962.3	-	516903	517802
def	NC_000962.3	-	517806	518387
gene_443	NC_000962.3	+	518736	519034
gene_444	NC_000962.3	+	519078	519560
sodC	NC_000962.3	+	519600	520322
gene_446	NC_000962.3	+	520325	521448
gene_447	NC_000962.3	+	521516	522165
gene_448	NC_000962.3	-	522349	524527
pssA	NC_000962.3	-	524530	525387
psd	NC_000962.3	-	525395	526079
moeA2	NC_000962.3	-	526143	527355
gene_452	NC_000962.3	-	527379	528312
groEL2	NC_000962.3	+	528609	530223
gene_454	NC_000962.3	-	530304	530722
PPE10	NC_000962.3	-	530753	532211
gene_456	NC_000962.3	+	532401	532906
rskA	NC_000962.3	-	533095	533781
sigK	NC_000962.3	-	533841	534395
gene_459	NC_000962.3	-	534452	535206
ufaA1	NC_000962.3	-	535228	536500
gene_461	NC_000962.3	-	536506	537163
gene_462	NC_000962.3	-	537230	538543
mmpL4	NC_000962.3	-	538587	541489
mmpS4	NC_000962.3	-	541491	541906
gene_465	NC_000962.3	+	542147	542851
PPE11	NC_000962.3	+	543175	544726
gene_467	NC_000962.3	-	545377	545816
echA2	NC_000962.3	-	545892	546800
mazF1	NC_000962.3	-	547084	547350
mazE1	NC_000962.3	-	547347	547516
gene_471	NC_000962.3	-	547591	549600
gene_472	NC_000962.3	+	549683	551197
gene_473	NC_000962.3	+	551198	551680
gene_474	NC_000962.3	+	551757	551982
gene_475	NC_000962.3	+	552032	552545
lpdC	NC_000962.3	+	552619	554006
gene_477	NC_000962.3	+	554022	554305
gene_478	NC_000962.3	-	554319	554879
gene_479	NC_000962.3	-	554886	556300
gene_480	NC_000962.3	+	556466	557251
icl1	NC_000962.3	+	557535	558813
fadB2	NC_000962.3	+	558896	559751
umaA	NC_000962.3	+	559894	560741
pcaA	NC_000962.3	-	560855	561702
gene_485	NC_000962.3	-	561854	562285
gene_486	NC_000962.3	-	562226	562705
gene_487	NC_000962.3	-	562724	563424
gene_488	NC_000962.3	+	563572	564930
gene_489	NC_000962.3	+	565026	565436
hbhA	NC_000962.3	+	565802	566392
gene_491	NC_000962.3	+	566512	566764
gene_492	NC_000962.3	+	566780	567218
deoC	NC_000962.3	+	567222	567888
gene_494	NC_000962.3	-	567925	568961
gene_495	NC_000962.3	-	568969	569801
gene_496	NC_000962.3	-	569992	570503
murB	NC_000962.3	+	570539	571646
lprQ	NC_000962.3	+	571712	573064
gene_499	NC_000962.3	-	573049	573794
gene_500	NC_000962.3	+	573988	575299
mshA	NC_000962.3	+	575349	576790
gene_502	NC_000962.3	+	576789	577336
gene_503	NC_000962.3	+	577665	578261
gpm1	NC_000962.3	+	578426	579168
senX3	NC_000962.3	+	579352	580577
regX3	NC_000962.3	+	580810	581484
gene_507	NC_000962.3	-	581494	583375
gene_508	NC_000962.3	-	583383	583697
gene_509	NC_000962.3	-	583703	584687
gene_510	NC_000962.3	+	584694	585417
gene_511	NC_000962.3	-	585432	586313
gene_512	NC_000962.3	+	586401	587371
gene_513	NC_000962.3	+	587381	588304
gene_514	NC_000962.3	+	588331	589163
gene_515	NC_000962.3	+	589183	590053
proC	NC_000962.3	+	590082	590961
gene_517	NC_000962.3	+	591117	591344
galE2	NC_000962.3	+	591659	592781
gene_519	NC_000962.3	+	592793	593867
cmaA2	NC_000962.3	-	593872	594775
gene_521	NC_000962.3	-	594806	595302
serB1	NC_000962.3	-	595470	596577
mmpS2	NC_000962.3	+	596766	597194
mmpL2	NC_000962.3	+	597207	600102
gene_525	NC_000962.3	+	600098	600382
hemA	NC_000962.3	+	600443	601844
hemC	NC_000962.3	+	601856	602779
hemD	NC_000962.3	+	602820	604508
hemB	NC_000962.3	+	604605	605589
gene_530	NC_000962.3	+	605607	606147
gene_531	NC_000962.3	+	606151	606445
gene_532	NC_000962.3	+	606559	608053
gene_533	NC_000962.3	-	608067	608535
gene_534	NC_000962.3	+	608749	610049
gene_535	NC_000962.3	+	610196	610883
gene_536	NC_000962.3	-	611175	612074
gabP	NC_000962.3	+	613044	614336
gene_538	NC_000962.3	-	614330	614713
hemL	NC_000962.3	+	614839	616217
gene_540	NC_000962.3	+	616225	616824
gene_541	NC_000962.3	+	616845	617492
ccdA	NC_000962.3	+	617497	618263
gene_543	NC_000962.3	+	618312	619893
ccsA	NC_000962.3	+	619899	620858
gene_545	NC_000962.3	+	620915	622122
gene_546	NC_000962.3	-	622122	622280
gene_547	NC_000962.3	+	622336	622641
PE_PGRS6	NC_000962.3	+	622798	624570
fabH	NC_000962.3	-	624474	625480
menA	NC_000962.3	-	625570	626440
gene_551	NC_000962.3	+	626464	627249
galE3	NC_000962.3	+	627248	628283
gene_553	NC_000962.3	-	628297	629729
gene_554	NC_000962.3	+	630047	631680
gene_555	NC_000962.3	+	631746	632371
gene_556	NC_000962.3	+	632372	633026
gene_557	NC_000962.3	-	633058	634396
menE	NC_000962.3	-	634419	635495
gene_559	NC_000962.3	-	635579	635869
gene_560	NC_000962.3	-	635942	636209
pitA	NC_000962.3	-	636217	637459
gene_562	NC_000962.3	-	637586	637966
gene_563	NC_000962.3	-	638035	638913
menB	NC_000962.3	-	639018	639949
vapC3	NC_000962.3	-	640228	640640
vapB3	NC_000962.3	-	640640	640900
fadD8	NC_000962.3	-	641097	642809
gene_568	NC_000962.3	+	642891	644489
menC	NC_000962.3	+	644492	645461
bpoC	NC_000962.3	+	645466	646253
menD	NC_000962.3	+	646298	647962
gene_572	NC_000962.3	+	647963	648468
mgtA	NC_000962.3	+	648542	649669
menH	NC_000962.3	+	649692	650388
gene_575	NC_000962.3	-	650410	650736
gene_576	NC_000962.3	-	650784	651500
gene_577	NC_000962.3	-	651530	652748
grcC1	NC_000962.3	+	652777	653774
htpX	NC_000962.3	+	653882	654737
gpdA1	NC_000962.3	-	654923	655940
gene_581	NC_000962.3	-	656009	657465
gene_582	NC_000962.3	-	657549	658037
tyrT	NC_000962.3	+	658112	658185
gene_584	NC_000962.3	+	658326	659339
cyp135B1	NC_000962.3	+	659458	660866
gene_586	NC_000962.3	+	661007	661268
nrdZ	NC_000962.3	+	661294	663366
gene_588	NC_000962.3	-	663489	664812
gene_589	NC_000962.3	-	665045	665374
pncB2	NC_000962.3	-	665853	667236
gene_591	NC_000962.3	-	667257	668387
gene_592	NC_000962.3	-	668584	669741
gene_593	NC_000962.3	+	669850	671146
TB27_	NC_000962.3	+	671169	671944
PE_PGRS7	NC_000962.3	-	671997	675909
gene_596	NC_000962.3	+	676240	676992
gene_597	NC_000962.3	-	677124	677613
vapB26	NC_000962.3	+	677714	677924
vapC26	NC_000962.3	+	677921	678328
lpqN	NC_000962.3	-	678392	679073
gene_601	NC_000962.3	+	679233	681860
gene_602	NC_000962.3	-	681888	684269
mce2R	NC_000962.3	+	684417	685124
yrbE2A	NC_000962.3	+	685136	685925
gene_605	NC_000962.3	+	685935	686811
mce2A	NC_000962.3	+	686822	688029
mce2C	NC_000962.3	+	689059	690495
mce2D	NC_000962.3	+	690503	692024
lprL	NC_000962.3	+	692032	693226
mce2F	NC_000962.3	+	693239	694783
vapC4	NC_000962.3	-	694844	695230
vapB4	NC_000962.3	-	695229	695481
gene_613	NC_000962.3	-	695673	696899
vapC27	NC_000962.3	-	697156	697566
vapB27	NC_000962.3	-	697569	697798
gene_616	NC_000962.3	-	697905	698407
gene_617	NC_000962.3	-	698526	698987
tcrA	NC_000962.3	-	699046	699793
gene_619	NC_000962.3	+	699860	700165
lpqO	NC_000962.3	+	700243	701183
gene_621	NC_000962.3	+	701433	702006
gene_622	NC_000962.3	+	702816	703191
vapB28	NC_000962.3	+	703245	703489
vapC28	NC_000962.3	+	703490	703879
gene_625	NC_000962.3	+	703838	704049
B55	NC_000962.3	+	704195	704242
gene_627	NC_000962.3	-	704758	705905
gene_628	NC_000962.3	-	705962	706176
gene_629	NC_000962.3	+	706331	706922
gene_630	NC_000962.3	-	706951	709511
gene_631	NC_000962.3	+	709363	710341
gene_632	NC_000962.3	+	710353	710578
vapB29	NC_000962.3	+	710782	711001
vapC29	NC_000962.3	+	711011	711405
galT	NC_000962.3	+	711637	712710
galK	NC_000962.3	+	712718	713802
gene_637	NC_000962.3	+	714205	715265
gene_638	NC_000962.3	+	715369	716315
vapB30	NC_000962.3	+	716410	716655
vapC30	NC_000962.3	+	716667	717056
gene_641	NC_000962.3	-	717158	717884
vapB5	NC_000962.3	+	718033	718277
vapC5	NC_000962.3	+	718284	718684
gene_644	NC_000962.3	-	718767	719909
recD	NC_000962.3	-	720010	721732
recB	NC_000962.3	-	721734	725006
recC	NC_000962.3	-	725019	728306
echA3	NC_000962.3	-	728588	729275
gene_649	NC_000962.3	-	729333	730161
gene_650	NC_000962.3	-	730319	731027
gene_651	NC_000962.3	+	731118	731355
thrT	NC_000962.3	+	731493	731560
metT	NC_000962.3	+	731608	731670
rpmG2	NC_000962.3	+	731712	731870
hadA	NC_000962.3	+	731937	732403
hadB	NC_000962.3	+	732400	732817
hadC	NC_000962.3	+	732824	733319
trpT	NC_000962.3	+	733532	733589
secE1	NC_000962.3	+	733736	734222
nusG	NC_000962.3	+	734261	734967
rplK	NC_000962.3	+	735028	735448
rplA	NC_000962.3	+	735521	736220
mmaA4	NC_000962.3	-	736301	737196
mmaA3	NC_000962.3	-	737270	738149
mmaA2	NC_000962.3	-	738305	739158
mmaA1	NC_000962.3	-	739334	740187
lipG	NC_000962.3	-	740234	741137
gene_668	NC_000962.3	-	741150	742609
gene_669	NC_000962.3	+	742723	746364
fabD2	NC_000962.3	+	746363	747036
